UNIQID,NAME,fc,p-value
202552_s_at,CRIM1,0.59453,0.00776
227367_at,SLCO3A1,0.59268,0.05087
1554127_s_at,MSRB3,0.58866,0.00832
213413_at,GTF2A1L,0.58764,0.11386
40148_at,APBB2,0.58713,0.0338
233547_x_at,PDE1A,0.58438,0.03064
221870_at,EHD2,0.58256,0.00702
201829_at,NET1,0.57924,0.01162
203650_at,PROCR,0.57856,0.00419
205304_s_at,KCNJ8,0.57763,0.03549
209071_s_at,RGS5,0.57633,0.02088
230692_at,LOC157503,0.57598,0.019
209200_at,MEF2C,0.57376,0.01029
204802_at,RRAD,0.57186,0.1715
209325_s_at,RGS16,0.57099,0.08653
228310_at,ENAH,0.57094,0.03558
209747_at,TGFB3,0.56908,0.00458
239710_at,NA,0.56828,0.22813
204720_s_at,DNAJC6,0.56796,0.07586
205111_s_at,PLCE1,0.56478,0.08529
227480_at,SUSD2,0.56356,0.15432
209487_at,RBPMS,0.56235,0.04906
204939_s_at,PLN,0.55728,0.19886
217546_at,MT1M,0.55634,0.24171
244655_at,LOC644192,0.55319,0.14626
203498_at,RCAN2,0.54464,0.04598
209576_at,GNAI1,0.54396,0.14624
219935_at,ADAMTS5,0.54012,0.25025
227497_at,NA,0.53961,0.09178
215306_at,STON1,0.5331,0.08536
215768_at,SOX5,0.53169,0.17533
202732_at,PKIG,0.52896,0.00289
222824_at,SEC61A2,0.52095,0.02786
213075_at,OLFML2A,0.51958,0.12309
228771_at,ADRBK2,0.51934,0.03033
242447_at,LOC285382,0.51675,0.12245
226223_at,PAWR,0.51558,0.04103
227662_at,SYNPO2,0.5153,0.33443
219743_at,HEY2,0.51195,0.21813
213125_at,OLFML2B,0.51188,0.22566
212472_at,MICAL2,0.51143,0.09527
219985_at,HS3ST3A1,0.50803,0.16997
212364_at,MYO1B,0.508,0.09394
219230_at,TMEM100,0.50496,0.39053
205265_s_at,SPEG,0.50377,0.0137
205376_at,INPP4B,0.50004,0.12001
206898_at,CDH19,0.49942,0.05534
229357_at,ADAMTS5,0.49669,0.22675
208999_at,SEPT8,0.49571,0.01492
238009_at,NA,0.49192,0.11678
228214_at,NA,0.49164,0.10957
229515_at,PAWR,0.49151,0.00427
205501_at,NA,0.49108,0.15339
225163_at,FRMD4A,0.48679,0.0832
209199_s_at,MEF2C,0.48416,0.02021
205352_at,SERPINI1,0.48087,0.1335
227196_at,RHPN2,0.47675,0.18427
204639_at,ADA,0.4755,0.01356
208636_at,ACTN1,0.47544,0.01111
204099_at,SMARCD3,0.47282,0.15419
228900_at,NA,0.46685,0.05304
1552508_at,KCNE4,0.46222,0.00051
224836_at,TP53INP2,0.45944,0.00606
203835_at,LRRC32,0.45494,0.05052
225502_at,DOCK8,0.4517,0.16926
204288_s_at,SORBS2,0.44711,0.19419
242680_at,NA,0.44664,0.12259
221796_at,NTRK2,0.44654,0.06157
212463_at,CD59,0.442,0.02855
224823_at,MYLK,0.43891,0.11176
235593_at,ZEB2,0.43858,0.09163
226632_at,CYGB,0.43307,0.01523
235561_at,NA,0.4312,0.09826
202555_s_at,MYLK,0.43062,0.10527
210150_s_at,LAMA5,0.4296,0.07177
204869_at,PCSK2,0.4295,0.0807
52255_s_at,COL5A3,0.42939,0.02629
209488_s_at,RBPMS,0.42776,0.11839
238592_at,PDLIM3,0.42659,0.1658
222008_at,COL9A1,0.42486,0.36946
228731_at,NA,0.42368,0.30302
218330_s_at,NAV2,0.42345,0.12361
238751_at,SORBS2,0.4152,0.26835
233599_at,hCG_2003663,0.41511,0.16973
206116_s_at,TPM1,0.41458,0.08562
209781_s_at,KHDRBS3,0.41319,0.22785
225258_at,FBLIM1,0.4118,0.05524
214954_at,SUSD5,0.41142,0.0309
203820_s_at,IGF2BP3,0.41128,0.56244
227856_at,C4orf32,0.40874,0.16166
205112_at,PLCE1,0.40871,0.23921
209070_s_at,RGS5,0.40754,0.10713
214428_x_at,C4A,0.40754,0.20762
215073_s_at,NR2F2,0.40692,0.24106
205463_s_at,PDGFA,0.40677,0.20572
1569003_at,TMEM49,0.40305,0.15666
221748_s_at,TNS1,0.40226,0.18688
230158_at,DPY19L2,0.40169,0.19021
227088_at,PDE5A,0.40066,0.08703
209343_at,EFHD1,0.39974,0.23201
227826_s_at,SORBS2,0.39826,0.27857
226326_at,PCGF5,0.39697,0.06623
227618_at,FLJ44635,0.39502,0.07207
47550_at,LZTS1,0.39458,0.0142
200601_at,ACTN4,0.39301,0.06713
218975_at,COL5A3,0.39229,0.04421
1555904_at,NA,0.3905,0.00311
204273_at,EDNRB,0.39044,0.34226
203642_s_at,COBLL1,0.38838,0.10661
212993_at,NA,0.38818,0.14754
208637_x_at,ACTN1,0.38699,0.05244
201474_s_at,ITGA3,0.38621,0.19096
220975_s_at,C1QTNF1,0.3847,0.03557
229092_at,NR2F2,0.38222,0.09636
225720_at,SYNPO2,0.38201,0.24533
236264_at,LPHN3,0.38034,0.28816
205532_s_at,CDH6,0.38005,0.37203
229830_at,NA,0.3789,0.26745
228108_at,NA,0.37556,0.16729
205824_at,HSPB2,0.37498,0.07525
212646_at,RFTN1,0.37358,0.20582
217966_s_at,FAM129A,0.37347,0.23265
1558828_s_at,LOC728264,0.37323,0.29109
236396_at,NA,0.37218,0.09205
227272_at,C15orf52,0.37185,0.23884
223595_at,TMEM133,0.37054,0.19227
228496_s_at,CRIM1,0.3677,0.11283
238784_at,DPY19L2,0.36728,0.28209
222717_at,SDPR,0.36658,0.27182
1555725_a_at,RGS5,0.36563,0.18167
219654_at,PTPLA,0.36489,0.32263
205582_s_at,GGT5,0.36433,0.0064
235085_at,PRAGMIN,0.36408,0.15275
226731_at,PELO,0.364,0.12342
212950_at,GPR116,0.36352,0.14635
203303_at,DYNLT3,0.36104,0.01042
209874_x_at,CNNM2,0.36089,0.00243
227099_s_at,LOC387763,0.35652,0.41486
227945_at,TBC1D1,0.35504,0.04363
228748_at,CD59,0.35432,0.06445
242033_at,RNF180,0.35413,0.09066
213317_at,CLIC5,0.35402,0.51096
208383_s_at,PCK1,0.35105,0.59314
202887_s_at,DDIT4,0.35058,0.26317
210657_s_at,SEPT4,0.3496,0.05601
217967_s_at,FAM129A,0.34789,0.38902
231987_at,LOC728264,0.34529,0.08579
221747_at,TNS1,0.34463,0.17246
219279_at,DOCK10,0.34381,0.26094
238868_at,UACA,0.34375,0.20532
208562_s_at,ABCC9,0.34264,0.01628
222760_at,ZNF703,0.34146,0.20071
205935_at,FOXF1,0.33734,0.02137
204004_at,PAWR,0.3373,0.10842
220559_at,EN1,0.3359,0.17832
201957_at,PPP1R12B,0.33382,0.04082
210078_s_at,KCNAB1,0.33378,0.07783
225056_at,SIPA1L2,0.32649,0.20964
227758_at,RERG,0.32528,0.45344
228456_s_at,LOC149832,0.32488,0.04913
226743_at,SLFN11,0.32267,0.169
220936_s_at,H2AFJ,0.32119,0.20145
229518_at,FAM46B,0.32055,0.22009
238835_at,NA,0.31758,0.11594
219825_at,CYP26B1,0.31592,0.21389
217897_at,FXYD6,0.31311,0.45546
219229_at,SLCO3A1,0.31169,0.25782
232843_s_at,DOCK8,0.31103,0.25082
226523_at,TAGLN,0.31097,0.0174
205289_at,BMP2,0.31029,0.16367
1554547_at,FAM13C1,0.30981,0.27379
217757_at,A2M,0.30965,0.13696
63825_at,ABHD2,0.30871,0.13209
1555480_a_at,FBLIM1,0.30614,0.08555
206818_s_at,CNNM2,0.3047,0.02859
225894_at,SYNPO2,0.30169,0.15717
241879_at,NA,0.30015,0.30621
1552507_at,KCNE4,0.29835,0.02165
224811_at,NA,0.29775,0.07932
204271_s_at,EDNRB,0.29711,0.44962
219454_at,EGFL6,0.29598,0.42386
225809_at,DKFZP564O0823,0.29563,0.34956
212511_at,PICALM,0.29441,0.07553
228563_at,GJC1,0.29399,0.18012
236335_at,NA,0.29326,0.48179
212951_at,GPR116,0.29217,0.15274
209765_at,ADAM19,0.29186,0.22256
201037_at,PFKP,0.29177,0.21812
200878_at,EPAS1,0.29088,0.22394
209120_at,NR2F2,0.28953,0.33686
209121_x_at,NR2F2,0.28946,0.26573
224588_at,XIST,0.289,0.28823
220276_at,RERGL,0.28636,0.05512
225721_at,SYNPO2,0.28547,0.24135
213924_at,MPPE1,0.28537,0.12463
213438_at,NFASC,0.28469,0.19501
1557374_at,ABCC9,0.28239,0.1004
218094_s_at,DBNDD2,0.28195,0.18475
1554690_a_at,TACC1,0.27951,0.14565
208078_s_at,ZEB1,0.27905,0.32268
244745_at,RERG,0.27833,0.52057
225585_at,RAP2A,0.27756,0.09487
235355_at,NA,0.27718,0.50421
212365_at,MYO1B,0.27435,0.34201
205290_s_at,BMP2,0.27361,0.19216
235017_s_at,NA,0.27318,0.44428
221830_at,RAP2A,0.27267,0.09092
226856_at,TMEM110,0.27149,0.10295
225763_at,RCSD1,0.27088,0.25484
204844_at,ENPEP,0.26944,0.37848
213714_at,CACNB2,0.26868,0.12664
203413_at,NELL2,0.26858,0.39185
226436_at,RASSF4,0.26831,0.42709
227827_at,SORBS2,0.26757,0.41864
229670_at,NA,0.26675,0.21382
209119_x_at,NR2F2,0.26674,0.32541
217721_at,NA,0.26572,0.10069
206762_at,KCNA5,0.26471,0.11991
219358_s_at,CENTA2,0.26385,0.20417
222876_s_at,CENTA2,0.26355,0.19226
208561_at,ABCC9,0.26094,0.12964
226828_s_at,HEYL,0.25848,0.06404
203951_at,CNN1,0.257,0.22291
222921_s_at,HEY2,0.25575,0.49588
228202_at,PLN,0.25378,0.3306
229811_at,NA,0.25293,0.37277
212565_at,STK38L,0.25269,0.29731
233587_s_at,SIPA1L2,0.25243,0.35542
228875_at,C6orf189,0.25127,0.19864
212848_s_at,C9orf3,0.25116,0.31079
210319_x_at,MSX2,0.25101,0.02415
220574_at,SEMA6D,0.24997,0.35092
205934_at,PLCL1,0.24832,0.10491
212976_at,NA,0.24657,0.09202
209867_s_at,LPHN3,0.24644,0.54224
204726_at,CDH13,0.24616,0.16466
203499_at,EPHA2,0.24428,0.33411
221795_at,NTRK2,0.24358,0.21312
206374_at,DUSP8,0.24209,0.11753
211964_at,COL4A2,0.24046,0.4984
220462_at,FAM130A2,0.23207,0.50954
212326_at,VPS13D,0.22941,0.16081
1560359_at,PELO,0.22598,0.1943
221815_at,ABHD2,0.22423,0.30754
215311_at,NA,0.22409,0.14822
205257_s_at,AMPH,0.22403,0.24166
202609_at,EPS8,0.22225,0.3045
212197_x_at,M-RIP,0.22183,0.0867
211980_at,COL4A1,0.22092,0.50113
228732_at,NA,0.22076,0.30738
208460_at,GJC1,0.22011,0.14486
204029_at,CELSR2,0.21731,0.3385
214771_x_at,M-RIP,0.21515,0.07845
222810_s_at,RASAL2,0.21514,0.19492
204916_at,RAMP1,0.215,0.23523
36499_at,CELSR2,0.21486,0.32084
211981_at,COL4A1,0.21442,0.51775
204940_at,PLN,0.21195,0.48677
207836_s_at,RBPMS,0.21094,0.42289
243555_at,EDNRA,0.21087,0.10149
213050_at,COBL,0.20871,0.52208
236304_at,NA,0.20815,0.03695
221246_x_at,TNS1,0.20709,0.2195
226342_at,SPTBN1,0.20621,0.26149
206030_at,ASPA,0.20442,0.23306
211926_s_at,MYH9,0.20173,0.22558
202822_at,LPP,0.2008,0.24395
209031_at,CADM1,0.20044,0.5157
220065_at,TNMD,0.19881,0.05089
218418_s_at,KANK2,0.19837,0.29787
218779_x_at,EPS8L1,0.19811,0.386
213151_s_at,SEPT7,0.19572,0.09295
227929_at,NA,0.19406,0.17918
220329_s_at,RMND1,0.19405,0.33508
213436_at,CNR1,0.19351,0.65833
222108_at,AMIGO2,0.19342,0.60359
209321_s_at,ADCY3,0.19035,0.45385
226137_at,NA,0.19015,0.26727
209994_s_at,ABCB1,0.18842,0.29844
1565823_at,SEPT7,0.18788,0.3448
40560_at,TBX2,0.18777,0.5631
202011_at,TJP1,0.18755,0.23475
232217_at,FAM26E,0.18711,0.18858
209082_s_at,COL18A1,0.1859,0.36624
238332_at,ANKRD29,0.18468,0.52836
213960_at,NA,0.18384,0.05497
237169_at,NA,0.18351,0.26541
242738_s_at,NA,0.17979,0.24917
44783_s_at,HEY1,0.17932,0.44023
226829_at,AFAP1L2,0.17831,0.62341
227750_at,KALRN,0.17829,0.22802
206496_at,FMO3,0.1782,0.48026
225806_at,JUB,0.17653,0.54126
202517_at,CRMP1,0.17548,0.24417
1556185_a_at,NA,0.17474,0.59728
225278_at,PRKAB2,0.17436,0.36074
225337_at,ABHD2,0.17436,0.26786
1553764_a_at,JUB,0.17385,0.57139
229936_at,GFRA3,0.17185,0.04335
223623_at,C2orf40,0.16892,0.78064
202547_s_at,ARHGEF7,0.16683,0.24967
214660_at,ITGA1,0.16593,0.27847
212135_s_at,ATP2B4,0.16563,0.4385
227862_at,LOC388610,0.16462,0.57274
210542_s_at,SLCO3A1,0.16428,0.44073
219073_s_at,OSBPL10,0.16148,0.52067
201162_at,IGFBP7,0.16142,0.43322
238419_at,PHLDB2,0.16082,0.04517
203881_s_at,DMD,0.16077,0.62982
227533_at,RALGPS2,0.15967,0.42966
209167_at,GPM6B,0.15945,0.6323
235562_at,LOC285382,0.1593,0.01696
212711_at,CAMSAP1,0.15811,0.25793
205347_s_at,TMSL8,0.15719,0.74345
201497_x_at,MYH11,0.15666,0.61354
242186_x_at,LPHN3,0.15645,0.38504
206307_s_at,FOXD1,0.15609,0.74752
213746_s_at,FLNA,0.15461,0.49441
218472_s_at,PELO,0.15424,0.28001
209448_at,HTATIP2,0.15413,0.5632
212823_s_at,PLEKHG3,0.15392,0.20043
235874_at,PRSS35,0.15335,0.67475
204938_s_at,PLN,0.15212,0.54466
203756_at,ARHGEF17,0.15086,0.12025
223315_at,NTN4,0.15012,0.78049
91826_at,EPS8L1,0.14903,0.51701
230254_at,NA,0.14722,0.23951
243502_at,GJC1,0.14667,0.21997
214752_x_at,FLNA,0.14635,0.44999
213435_at,SATB2,0.14618,0.53456
212551_at,CAP2,0.14472,0.64264
200859_x_at,FLNA,0.14129,0.45196
226610_at,PRR6,0.13914,0.69312
205080_at,RARB,0.13893,0.44797
201603_at,PPP1R12A,0.13817,0.42965
225308_s_at,TANC1,0.1379,0.45559
214297_at,CSPG4,0.1377,0.24458
209566_at,INSIG2,0.13596,0.5112
239058_at,NA,0.13508,0.40787
244832_at,EDNRA,0.13457,0.05729
210471_s_at,KCNAB1,0.13435,0.15982
213417_at,TBX2,0.13405,0.67812
212830_at,MEGF9,0.13377,0.47033
203296_s_at,ATP1A2,0.13208,0.84821
208690_s_at,PDLIM1,0.13192,0.49762
207961_x_at,MYH11,0.13063,0.6138
205132_at,ACTC1,0.13022,0.13788
219719_at,HIGD1B,0.12862,0.23229
202759_s_at,AKAP2,0.12744,0.58912
201177_s_at,UBA2,0.12677,0.38969
218839_at,HEY1,0.12419,0.47184
219506_at,C1orf54,0.1227,0.39499
229308_at,NA,0.12246,0.55226
200985_s_at,CD59,0.11968,0.52752
242342_at,NA,0.11876,0.73392
206118_at,STAT4,0.11575,0.46554
208476_s_at,FRMD4A,0.11562,0.54465
204687_at,DKFZP564O0823,0.11477,0.36192
203072_at,MYO1E,0.11271,0.45447
208712_at,CCND1,0.11266,0.8086
228060_at,SLC35F1,0.11191,0.35078
235721_at,DTX3,0.11185,0.60237
232270_at,C9orf3,0.11165,0.63698
244461_at,SPECC1,0.10795,0.61498
212136_at,ATP2B4,0.10749,0.63344
1558881_at,LOC145820,0.10368,0.43073
202834_at,AGT,0.10305,0.57282
219167_at,RASL12,0.10087,0.65949
225167_at,FRMD4A,0.10037,0.71585
205152_at,SLC6A1,0.09936,0.11059
221665_s_at,EPS8L1,0.09799,0.67925
207819_s_at,ABCB4,0.0979,0.56154
221009_s_at,ANGPTL4,0.09562,0.58645
216080_s_at,FADS3,0.09486,0.66617
212099_at,RHOB,0.09423,0.73086
220170_at,FHL5,0.09269,0.53621
226272_at,NA,0.09121,0.73053
205679_x_at,ACAN,0.09111,0.27193
209169_at,GPM6B,0.09001,0.73849
215241_at,TMEM16C,0.08854,0.29709
229373_at,NA,0.08796,0.45334
216874_at,DKFZp686O1327,0.08789,0.11235
214321_at,NOV,0.08703,0.82834
235639_at,NA,0.08649,0.27022
230596_at,NA,0.08649,0.70965
201602_s_at,PPP1R12A,0.08633,0.71244
239580_at,GUCY1A3,0.08603,0.4237
244885_at,EBF2,0.08569,0.44745
225896_at,M-RIP,0.08507,0.33366
203726_s_at,LAMA3,0.08308,0.88666
217161_x_at,ACAN,0.0827,0.34799
231048_at,NA,0.08154,0.11296
206167_s_at,ARHGAP6,0.08043,0.78488
221211_s_at,C21orf7,0.0802,0.62786
227821_at,LGI4,0.0801,0.17432
213847_at,PRPH,0.07952,0.51936
221272_s_at,C1orf21,0.07952,0.64159
1555419_a_at,ASAH1,0.07784,0.74762
1552667_a_at,SH2D3C,0.07503,0.54068
225807_at,JUB,0.07426,0.79144
40665_at,FMO3,0.07387,0.75561
210108_at,CACNA1D,0.07203,0.75402
210524_x_at,NA,0.07195,0.79125
209081_s_at,COL18A1,0.07194,0.77918
211966_at,COL4A2,0.0711,0.84174
228579_at,NA,0.06797,0.69633
206117_at,TPM1,0.06564,0.73522
214369_s_at,RASGRP2,0.06548,0.63403
204845_s_at,ENPEP,0.06525,0.75751
229145_at,C10orf104,0.06519,0.7024
225665_at,ZAK,0.06507,0.81392
215115_x_at,NTRK3,0.06479,0.38954
218678_at,NES,0.06356,0.73496
230595_at,LOC572558,0.06339,0.77179
202910_s_at,CD97,0.06153,0.7762
229587_at,UBA2,0.05996,0.62953
241859_at,NA,0.05901,0.30568
209170_s_at,GPM6B,0.05872,0.85432
206194_at,HOXC4,0.05819,0.80643
222106_at,PRND,0.05699,0.4004
206819_at,DKFZP434P211,0.05692,0.53512
226188_at,HSPC159,0.05672,0.82618
1558017_s_at,PAWR,0.05576,0.65806
241442_at,DAAM2,0.05554,0.4495
201496_x_at,MYH11,0.05509,0.80542
223519_at,ZAK,0.05489,0.84828
212841_s_at,PPFIBP2,0.05304,0.81307
225662_at,ZAK,0.05277,0.85576
206210_s_at,CETP,0.05271,0.57689
224049_at,KCNK17,0.0526,0.46449
242500_at,NA,0.05228,0.68116
229382_at,C1orf183,0.0512,0.61543
236300_at,NA,0.05071,0.8811
213138_at,ARID5A,0.05009,0.56096
209099_x_at,JAG1,0.05004,0.8543
241558_at,NA,0.04898,0.30086
228783_at,BVES,0.04862,0.83485
202205_at,VASP,0.04759,0.7759
232424_at,PRDM16,0.04719,0.81217
218711_s_at,SDPR,0.04654,0.82004
235924_at,NA,0.04578,0.88852
203641_s_at,COBLL1,0.04499,0.83415
241255_at,NA,0.04481,0.68043
219282_s_at,TRPV2,0.0437,0.7895
209030_s_at,CADM1,0.0428,0.88223
222924_at,SLMAP,0.04244,0.68083
208072_s_at,DGKD,0.04181,0.70161
212730_at,DMN,0.04142,0.84935
233301_at,OXCT2,0.04127,0.54589
236576_at,NA,0.03958,0.54294
237056_at,INSC,0.03882,0.39162
202890_at,MAP7,0.03854,0.85572
225889_at,AEBP2,0.03635,0.87759
226653_at,MARK1,0.03577,0.87077
231166_at,GPR155,0.03491,0.9055
225102_at,MGLL,0.03411,0.92241
205414_s_at,RICH2,0.0331,0.91441
224998_at,CMTM4,0.03292,0.87925
235147_at,SATB2,0.0328,0.87166
212285_s_at,AGRN,0.03245,0.84015
206528_at,TRPC6,0.03109,0.66784
219958_at,C20orf46,0.03104,0.84388
212554_at,CAP2,0.02982,0.91595
207317_s_at,CASQ2,0.02912,0.81676
213332_at,PAPPA2,0.02868,0.92377
230574_at,SPIRE2,0.02683,0.66737
210869_s_at,MCAM,0.02669,0.90582
203315_at,NCK2,0.02608,0.87967
238891_at,NA,0.02601,0.68005
243409_at,FOXL1,0.02227,0.76805
230047_at,FLJ32810,0.02162,0.92926
218804_at,TMEM16A,0.02141,0.96294
210602_s_at,CDH6,0.02024,0.95996
204736_s_at,CSPG4,0.01899,0.79207
1555993_at,CACNA1D,0.01873,0.909
209086_x_at,MCAM,0.01871,0.89979
204257_at,FADS3,0.01696,0.91772
220392_at,EBF2,0.01654,0.8183
1557570_a_at,LOC285084,0.01638,0.63499
219058_x_at,TINAGL1,0.01462,0.91802
209087_x_at,MCAM,0.01376,0.95064
230788_at,GCNT2,0.0137,0.97666
1555191_a_at,FHL5,0.01359,0.83997
217455_s_at,SSTR2,0.01236,0.8614
228507_at,NA,0.01201,0.96791
205555_s_at,MSX2,0.01078,0.89026
204311_at,ATP1B2,0.00988,0.93485
230249_at,KHDRBS3,0.00642,0.9755
225369_at,ESAM,0.00533,0.97108
236359_at,SCN4B,0.0043,0.97326
210246_s_at,ABCC8,0.00244,0.97024
201288_at,ARHGDIB,0.00195,0.99434
231431_s_at,NA,-0.0016,0.99015
210300_at,REM1,-0.0023,0.97622
206701_x_at,EDNRB,-0.0025,0.99342
216867_s_at,PDGFA,-0.0026,0.98067
200621_at,CSRP1,-0.0031,0.98566
228849_at,NTRK3,-0.0031,0.97555
211340_s_at,MCAM,-0.004,0.98542
218224_at,PNMA1,-0.0047,0.97821
209032_s_at,CADM1,-0.0048,0.98534
231183_s_at,JAG1,-0.0054,0.98466
220301_at,CCDC102B,-0.006,0.97625
209481_at,SNRK,-0.0103,0.93739
239230_at,HES5,-0.0115,0.77097
1554008_at,OSMR,-0.0122,0.961
223126_s_at,C1orf21,-0.0124,0.95308
226438_at,MTBP,-0.0131,0.95429
225567_at,NA,-0.0135,0.95316
206090_s_at,DISC1,-0.0145,0.94339
217377_x_at,NTRK3,-0.0147,0.83542
206826_at,PMP2,-0.017,0.6404
